is_post,publish_date,author,url,post_title,comment_count
1,"Thursday, August 14, 2014",eva lantsoght,http://phdtalk.blogspot.com/2014/08/how-you-should-prepare-for-career.html,How you should prepare for a career outside of academia: 7 lucky tips for a smoother transition,0
1,"Tuesday, August 12, 2014",eva lantsoght,http://phdtalk.blogspot.com/2014/08/some-changes-to-phd-talk.html,Some changes to PhD Talk,2
1,"Thursday, August 7, 2014",eva lantsoght,http://phdtalk.blogspot.com/2014/08/phd-talk-for-academictransfer.html,PhD Talk for AcademicTransfer: Navigating Responsibilities as an young Faculty Member,0
1,"Sunday, August 3, 2014",eva lantsoght,http://phdtalk.blogspot.com/2014/08/an-example-outline-diagram-for.html,An example outline diagram for structuring your dissertation,0
1,"Thursday, July 31, 2014",eva lantsoght,http://phdtalk.blogspot.com/2014/07/practical-application-of-transverse.html,Practical Application of Transverse Load Redistribution in Reinforced Concrete Solid Slab Bridges,0
1,"Tuesday, July 29, 2014",eva lantsoght,http://phdtalk.blogspot.com/2014/07/recommendations-for-shear-assessment-of.html,Recommendations for the Shear Assessment of Reinforced Concrete Solid Slab Bridges,0
1,"Sunday, July 27, 2014",eva lantsoght,http://phdtalk.blogspot.com/2014/07/writers-lab-10-tips-for-more-productive.html,Writers' Lab: 10 Tips for more productive academic writing,2
1,"Thursday, July 24, 2014",eva lantsoght,http://phdtalk.blogspot.com/2014/07/being-smart-is-not-enough-four-factors.html,Being smart is not enough - Four factors necessary for success,1
1,"Tuesday, July 22, 2014",eva lantsoght,http://phdtalk.blogspot.com/2014/07/on-moving-across-continents.html,On moving across continents,0
1,"Sunday, July 20, 2014",eva lantsoght,http://phdtalk.blogspot.com/2014/07/playing-in-creative-sandbox.html,Playing in the Creative Sandbox,0
1,"Thursday, July 17, 2014",eva lantsoght,http://phdtalk.blogspot.com/2014/07/replacing-blockify-by-ezblocker.html,Replacing Blockify by EZBlocker,0
1,"Tuesday, July 15, 2014",eva lantsoght,http://phdtalk.blogspot.com/2014/07/on-waking-up-early.html,On waking up early,0
1,"Sunday, July 13, 2014",eva lantsoght,http://phdtalk.blogspot.com/2014/07/storify-on-gender-in-academia.html,Storify on Gender in Academia,0
1,"Thursday, July 10, 2014",eva lantsoght,http://phdtalk.blogspot.com/2014/07/asking-questions-at-conferences.html,Asking questions at conferences,2
1,"Tuesday, July 8, 2014",eva lantsoght,http://phdtalk.blogspot.com/2014/07/writers-lab-varying-sentence-length-for.html,Writer's Lab: Varying sentence length for better writing,6
1,"Sunday, July 6, 2014",eva lantsoght,http://phdtalk.blogspot.com/2014/07/silver-linings-gratitude.html,Silver Linings: Gratitude,5
1,"Thursday, July 3, 2014",eva lantsoght,http://phdtalk.blogspot.com/2014/07/phd-talk-for-academictransfer-how-to.html,PhD Talk for AcademicTransfer: How to develop the outline for your dissertation,4
1,"Tuesday, July 1, 2014",eva lantsoght,http://phdtalk.blogspot.com/2014/07/lecture-on-impostor-syndrome.html,Lecture on the Impostor Syndrome,1
1,"Sunday, June 29, 2014",eva lantsoght,http://phdtalk.blogspot.com/2014/06/what-i-learned-from-planning-my.html,What I learned from planning my academic life to the minute,5
1,"Tuesday, June 24, 2014",eva lantsoght,http://phdtalk.blogspot.com/2014/06/how-i-tamed-my-smartphone.html,How I tamed my smartphone,5
1,"Sunday, June 22, 2014",eva lantsoght,http://phdtalk.blogspot.com/2014/06/where-are-all-women-in-science.html,Where are all the women in science?,8
1,"Thursday, June 19, 2014",eva lantsoght,http://phdtalk.blogspot.com/2014/06/long-overdue-update-on-veganchallenge.html,Long overdue update on the VeganChallenge,2
1,"Tuesday, June 17, 2014",eva lantsoght,http://phdtalk.blogspot.com/2014/06/scrambling-yourself-together-and-making.html,Scrambling yourself together and making big changes in your research,2
1,"Sunday, June 15, 2014",eva lantsoght,http://phdtalk.blogspot.com/2014/06/digging-for-gold-in-literature-review.html,Digging for gold in the literature review,2
1,"Thursday, June 12, 2014",eva lantsoght,http://phdtalk.blogspot.com/2014/06/a-nomads-life-on-working-in-two.html,A nomad's life: on working in two continents,0
1,"Tuesday, June 10, 2014",eva lantsoght,http://phdtalk.blogspot.com/2014/06/the-gre-as-preparation-for-graduate.html,The GRE as preparation for graduate school,1
1,"Sunday, June 8, 2014",eva lantsoght,http://phdtalk.blogspot.com/2014/06/back-in-netherlands.html,Back in the Netherlands,0
1,"Thursday, June 5, 2014",eva lantsoght,http://phdtalk.blogspot.com/2014/06/phd-talk-for-academictransfer-how-to.html,PhD Talk for AcademicTransfer: How to know when to change course in your research,2
1,"Tuesday, June 3, 2014",eva lantsoght,http://phdtalk.blogspot.com/2014/06/software-review-tuneup.html,Software review: TuneUp,6
1,"Sunday, June 1, 2014",eva lantsoght,http://phdtalk.blogspot.com/2014/06/managing-email-in-academia.html,Managing email in academia,5
1,"Thursday, May 29, 2014",eva lantsoght,http://phdtalk.blogspot.com/2014/05/accomodating-different-learning-styles.html,Accommodating different learning styles in (traditional) lectures,5
1,"Tuesday, May 27, 2014",eva lantsoght,http://phdtalk.blogspot.com/2014/05/5-great-apps-for-grad-students.html,5 Great Apps for Grad Students,3
1,"Sunday, May 25, 2014",eva lantsoght,http://phdtalk.blogspot.com/2014/05/twitter-in-academia-results-from-116.html,Twitter in Academia: Results from 116 Marine Scientists,0
1,"Thursday, May 22, 2014",eva lantsoght,http://phdtalk.blogspot.com/2014/05/the-routines-of-highly-creative-people.html,The routines of highly creative people,0
1,"Tuesday, May 20, 2014",eva lantsoght,http://phdtalk.blogspot.com/2014/05/ten-things-i-miss-about-europe.html,Ten things I miss about Europe,0
1,"Sunday, May 18, 2014",eva lantsoght,http://phdtalk.blogspot.com/2014/05/ten-things-i-enjoy-about-ecuador.html,Ten things I enjoy about Ecuador,0
1,"Thursday, May 15, 2014",eva lantsoght,http://phdtalk.blogspot.com/2014/05/what-should-you-do-after-your-phd.html,What should you do after your PhD?,0
1,"Tuesday, May 13, 2014",eva lantsoght,http://phdtalk.blogspot.com/2014/05/writers-lab-how-i-wrote-draft-paper-in.html,Writer's Lab: How I Wrote a Draft Paper in 8 hours,3
1,"Sunday, May 11, 2014",eva lantsoght,http://phdtalk.blogspot.com/2014/05/on-dealing-with-absent-supervisor.html,On dealing with an absent supervisor,2
1,"Thursday, May 8, 2014",eva lantsoght,http://phdtalk.blogspot.com/2014/05/organizing-your-literature-review.html,Organizing your literature review,2
1,"Tuesday, May 6, 2014",eva lantsoght,http://phdtalk.blogspot.com/2014/05/writers-lab-30-ways-to-tackle-writers.html,Writer's Lab: 30 Ways to Tackle Writer's Block,0
1,"Sunday, May 4, 2014",eva lantsoght,http://phdtalk.blogspot.com/2014/05/why-consuming-sugar-is-bad-idea.html,Why consuming sugar is a bad idea,0
1,"Thursday, May 1, 2014",eva lantsoght,http://phdtalk.blogspot.com/2014/05/ten-tips-for-surviving-your-phd-defense.html,Ten Tips for Surviving your PhD Defense,1
1,"Tuesday, April 29, 2014",eva lantsoght,http://phdtalk.blogspot.com/2014/04/writers-lab-five-steps-to-completing.html,Writers' Lab: Five Steps to Completing your First Draft - the Academic Writing Edition,0
1,"Sunday, April 27, 2014",eva lantsoght,http://phdtalk.blogspot.com/2014/04/is-university-expensive.html,Is university expensive?,0
1,"Thursday, April 24, 2014",eva lantsoght,http://phdtalk.blogspot.com/2014/04/how-much-time-does-it-take-to-write.html,How much time does it take to write a paper?,0
1,"Tuesday, April 22, 2014",eva lantsoght,http://phdtalk.blogspot.com/2014/04/apprenticeship-in-co-authoring-papers.html,Apprenticeship in co-authoring papers,0
1,"Sunday, April 20, 2014",eva lantsoght,http://phdtalk.blogspot.com/2014/04/when-exercise-takes-backseat.html,When exercise takes the backseat,4
1,"Thursday, April 17, 2014",eva lantsoght,http://phdtalk.blogspot.com/2014/04/how-to-present-your-proposal.html,How to present your proposal,0
